Tesisat;T1;T2;T3;RI;RC;;;;;;;;;
23192012;"53,227 ";"23,495 ";"38,781 ";"0,000 ";"0,000 ";;;;;;;;;
23237029;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23208309;"756,171 ";"660,855 ";"483,132 ";"0,000 ";"0,000 ";;;;;;;;;
23215534;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23848727;"5,580 ";"2,780 ";"0,896 ";"0,000 ";"0,000 ";;;;;;;;;
700747780;"0,603 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
22016679;"3683,806 ";"2428,064 ";"2689,659 ";"0,000 ";"0,000 ";;;;;;;;;
23208855;"15525,683 ";"10758,138 ";"8937,007 ";"0,000 ";"0,000 ";;;;;;;;;
23107106;"30,239 ";"22,848 ";"24,480 ";"0,000 ";"0,000 ";;;;;;;;;
23901191;"7285,818 ";"3685,682 ";"4979,069 ";"0,000 ";"0,000 ";;;;;;;;;
23613854;"3539,947 ";"2656,251 ";"2710,584 ";"0,000 ";"0,000 ";;;;;;;;;
23288175;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23679881;"3670,320 ";"1919,187 ";"1681,856 ";"0,000 ";"0,000 ";;;;;;;;;
23627048;"8306,190 ";"3306,833 ";"1345,550 ";"0,000 ";"0,000 ";;;;;;;;;
23217730;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23234194;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
700522275;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23223914;"1857,088 ";"775,496 ";"1124,008 ";"0,000 ";"0,000 ";;;;;;;;;
23605035;"8958,410 ";"4164,874 ";"5970,828 ";"0,000 ";"0,000 ";;;;;;;;;
23982662;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23602313;"4477,317 ";"3566,294 ";"1994,916 ";"0,000 ";"0,000 ";;;;;;;;;
23696519;"4070,821 ";"2920,507 ";"2980,445 ";"0,000 ";"0,000 ";;;;;;;;;
23666251;"3144,795 ";"1569,621 ";"1694,271 ";"0,000 ";"0,000 ";;;;;;;;;
23270251;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
